movie_id,primary_title,genres,runtime_minutes,averagerating
tt0443331,Milenge Milenge,"Drama,Romance",109.0,4.1
tt0443465,Before We Go,"Comedy,Drama,Romance",95.0,6.8
tt0443533,The History of Love,"Drama,Romance,War",134.0,6.3
tt0444531,Vidas pequeñas,Drama,115.0,6.0
tt0445054,7 Days,"Crime,Drama,Horror",105.0,6.5
tt0446029,Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",112.0,7.5
tt0446686,Dream Street,Drama,,5.1
tt0446792,Surviving in L.A.,"Comedy,Drama,Romance",,8.7
tt0448022,A Bird of the Air,"Drama,Romance",108.0,6.6
tt0448115,Shazam!,"Action,Adventure,Comedy",132.0,7.4
tt0448694,Puss in Boots,"Action,Adventure,Animation",90.0,6.6
tt0449005,Diary of a Bad Lad,"Comedy,Crime",92.0,4.0
tt0451108,Mad World,Drama,98.0,6.3
tt0451154,The Passing,Horror,92.0,3.4
tt0451201,Clawed,Horror,95.0,5.8
tt0451279,Wonder Woman,"Action,Adventure,Fantasy",141.0,7.5
tt0452183,Blunt Movie,"Comedy,Romance",83.0,6.4
tt0452664,Party Crashers,Comedy,88.0,5.4
tt0453562,42,"Biography,Drama,Sport",128.0,7.5
tt0454155,El hada buena - Una fábula peronista,"Comedy,Drama,Sci-Fi",85.0,6.4
tt0454876,Life of Pi,"Adventure,Drama,Fantasy",127.0,7.9
tt0455323,Being Flynn,Drama,102.0,6.4
tt0455407,The Crazies,"Horror,Thriller",101.0,6.5
tt0455944,The Equalizer,"Action,Crime,Thriller",132.0,7.2
tt0457591,Memorias del desarrollo,Drama,113.0,7.0
tt0458339,Captain America: The First Avenger,"Action,Adventure,Sci-Fi",124.0,6.9
tt0458413,A Long Way Down,"Comedy,Drama",96.0,6.4
tt0458481,Sin City: A Dame to Kill For,"Crime,Thriller",102.0,6.5
tt0459748,Generation P,"Comedy,Drama,Sci-Fi",112.0,6.8
tt0460528,One Step Beyond: The True Story of Géraldine Fasnacht,Documentary,56.0,8.5
tt0460778,Drunkboat,Drama,98.0,4.9
tt0460809,The Grasslands,Drama,114.0,8.6
tt0460890,The Only Living Boy in New York,Drama,89.0,6.3
tt0460957,Texxas Jam '78,Documentary,60.0,8.5
tt0461336,Saving Private Perez,"Adventure,Comedy,Western",105.0,6.0
tt0462036,Steve Phoenix: The Untold Story,Drama,110.0,5.5
tt0462335,High-Rise,"Drama,Horror,Sci-Fi",119.0,5.6
tt0462516,Satan Hates You,Horror,94.0,4.6
tt0463311,Federal,"Drama,Thriller",91.0,3.2
tt0463960,The Devil You Know,"Mystery,Thriller",76.0,3.6
tt0464032,"Guns, Drugs and Dirty Money","Action,Comedy,Crime",123.0,8.0
tt0464054,House at the End of the Drive,"Horror,Thriller",91.0,6.5
tt0464154,Piranha 3D,"Comedy,Horror",88.0,5.4
tt0464162,Komaram Puli,"Action,Crime,Thriller",163.0,3.8
tt0464891,Act Your Age,"Comedy,Drama",101.0,6.5
tt0465637,Taken by Force,"Action,Drama",90.0,7.8
tt0466553,Golapi Ekhon Bilatey,Musical,,7.8
tt0466893,Margaret,Drama,150.0,6.5
tt0469021,Alan Partridge,"Action,Comedy,Crime",90.0,6.9
tt0469094,Harlem Hostel,"Comedy,Drama",81.0,4.1
tt0469152,Smoking/Non-Smoking,Drama,84.0,7.2
tt0469158,Platinum Illusions,"Action,Drama",,6.6
tt0470752,Ex Machina,"Drama,Mystery,Sci-Fi",108.0,7.7
tt0470936,"Hot Country, Cold Winter",Drama,104.0,4.0
tt0471042,Tower Heist,"Action,Comedy,Crime",104.0,6.2
tt0472181,The Smurfs,"Adventure,Animation,Comedy",103.0,5.5
tt0472399,The Mechanic,"Action,Crime,Thriller",93.0,6.6
tt0473075,Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy",116.0,6.6
tt0473088,Stan,Comedy,,8.8
tt0473122,Bamboo Shark,Comedy,,6.4
tt0473343,Cielito lindo,"Drama,Thriller",91.0,6.9
tt0475239,Clutch,"Action,Drama",,7.9
tt0475290,"Hail, Caesar!","Comedy,Drama,Music",106.0,6.3
tt0476023,Stiffs,Comedy,104.0,7.3
tt0477080,Unstoppable,"Action,Thriller",98.0,6.8
tt0477302,Extremely Loud & Incredibly Close,"Adventure,Drama,Mystery",129.0,6.9
tt0478304,The Tree of Life,"Drama,Fantasy",139.0,6.8
tt0478660,El horror de la dama del lago,"Fantasy,Horror,Thriller",90.0,6.2
tt0478970,Ant-Man,"Action,Adventure,Comedy",117.0,7.3
tt0479051,The Greater Meaning of Water,"Drama,Sport",60.0,6.5
tt0479204,Perfect Life,"Horror,Thriller",98.0,4.3
tt0479997,Season of the Witch,"Action,Adventure,Fantasy",95.0,5.4
tt0480239,Atlas Shrugged: Part I,"Drama,Mystery,Sci-Fi",97.0,5.7
tt0480255,The Losers,"Action,Adventure,Crime",97.0,6.4
tt0480687,Hall Pass,"Comedy,Romance",105.0,5.9
tt0481470,Felix Austria!,"Biography,Documentary,History",77.0,7.5
tt0481499,The Croods,"Action,Adventure,Animation",98.0,7.2
tt0482459,Bandage,"Drama,Music,Romance",119.0,6.8
tt0482461,Barry Munday,"Comedy,Drama,Romance",95.0,5.9
tt0483586,Chasing 3000,"Family,Sport",115.0,6.5
tt0483740,Monkey Man,Comedy,,7.6
tt0484828,La daga de Rasputín,"Adventure,Comedy",99.0,3.0
tt0485061,U Want Me 2 Kill Him?,"Drama,Thriller",92.0,6.3
tt0485521,Sushi in Suhl,"Comedy,Drama",100.0,6.3
tt0485985,Red Tails,"Action,Adventure,Drama",125.0,5.9
tt0486622,Making Change,Drama,94.0,6.7
tt0490075,Aftermath,"Crime,Thriller",84.0,5.1
tt0490199,PrimeMates,"Comedy,Drama",82.0,6.7
tt0490215,Silence,"Adventure,Drama,History",161.0,7.2
tt0490236,The Invited,"Horror,Thriller",95.0,4.2
tt0490847,Double Tap,"Action,Crime,Drama",100.0,5.2
tt0491152,Something Borrowed,"Comedy,Drama,Romance",112.0,5.9
tt0491175,Suburbicon,"Comedy,Crime,Drama",105.0,5.6
tt0491203,Tulip Fever,"Drama,History,Romance",105.0,6.2
tt0492389,Furry Vengeance,"Comedy,Family",92.0,3.8
tt0493076,Nina,"Biography,Drama,Music",90.0,5.3
tt0493405,CHIPS,"Action,Comedy,Crime",100.0,6.0
tt0493949,Ramona and Beezus,"Adventure,Comedy,Family",103.0,6.6
tt0494229,Good Sharma,Drama,100.0,7.3
tt0495024,Bad Blood,"Horror,Mystery,Romance",107.0,5.6
tt0495037,O Inimigo Sem Rosto,"Crime,Drama",85.0,6.2
tt0496375,Prisoners of the Sun,"Action,Adventure,Horror",85.0,3.7
tt0498351,The Hero of Color City,"Animation,Family",77.0,4.0
tt0498381,Rings,"Drama,Horror,Mystery",102.0,4.5
tt0499608,Tranced,"Drama,Fantasy,Romance",,5.6
tt0756727,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),"Biography,Documentary,Music",116.0,7.7
tt0758752,Love & Other Drugs,"Comedy,Drama,Romance",112.0,6.7
tt0762138,Syrup,"Comedy,Drama,Romance",90.0,5.7
tt0763831,A Thousand Words,"Comedy,Drama",91.0,5.9
tt0765446,Escape from Planet Earth,"Adventure,Animation,Comedy",89.0,5.9
tt0765465,The Legend of Secret Pass,"Animation,Family,Fantasy",92.0,4.9
tt0765485,Waste of Space,"Adventure,Comedy,Sci-Fi",78.0,5.2
tt0768187,Me and My Umbrella,"Family,Fantasy",78.0,6.1
tt0768222,Night of the Templar,"Horror,Mystery",101.0,5.9
tt0770703,What's Your Number?,"Comedy,Romance",106.0,6.1
tt0770728,California Indian,Drama,90.0,6.0
tt0770778,King of the Avenue,"Drama,Fantasy,Thriller",83.0,4.0
tt0770802,Samsara,"Documentary,Music",102.0,8.5
tt0770828,Man of Steel,"Action,Adventure,Sci-Fi",143.0,7.1
tt0772175,Jersey Justice,"Action,Thriller",100.0,7.2
tt0772179,Kill,"Comedy,Horror,Thriller",90.0,4.5
tt0774519,The Chosen Heaven,"Drama,Thriller",123.0,6.3
tt0775440,Cell,"Action,Drama,Horror",98.0,4.3
tt0775461,The Rain Fairy,"Family,Fantasy",100.0,5.4
tt0775489,The Illusionist,"Animation,Drama",80.0,7.5
tt0775543,Night Catches Us,"Drama,Romance",90.0,6.3
tt0780504,Drive,"Crime,Drama",100.0,7.8
tt0780548,Kid Cannabis,"Biography,Comedy,Crime",110.0,6.4
tt0780625,Santorini Blue,"Comedy,Drama",90.0,4.6
tt0780645,War of the Dead,"Action,Adventure,Horror",86.0,4.1
tt0780653,The Wolfman,"Drama,Fantasy,Horror",103.0,5.8
tt0781441,Escalade,Thriller,80.0,4.5
tt0782047,Irreversi,Thriller,,5.6
tt0787442,The Attack,"Drama,Mystery,War",102.0,7.1
tt0787474,The Boxtrolls,"Adventure,Animation,Comedy",96.0,6.8
tt0787524,The Man Who Knew Infinity,"Biography,Drama",108.0,7.2
tt0790628,The Incredible Burt Wonderstone,"Adventure,Comedy,Fantasy",100.0,5.9
tt0790636,Dallas Buyers Club,"Biography,Drama",117.0,8.0
tt0790653,Elliot Loves,"Comedy,Romance",92.0,6.2
tt0790663,The First Grader,"Biography,Drama,Romance",103.0,7.5
tt0790724,Jack Reacher,"Action,Crime,Thriller",130.0,7.0
tt0790736,R.I.P.D.,"Action,Adventure,Comedy",96.0,5.6
tt0790770,Miles Ahead,"Biography,Drama,Music",100.0,6.4
tt0790788,The Yellow Wallpaper,Thriller,115.0,6.6
tt0795459,Wilde Salomé,"Documentary,Drama",95.0,6.8
tt0795461,Scary Movie 5,Comedy,86.0,3.5
tt0798817,13,"Drama,Thriller",91.0,6.1
tt0800054,The Guardians,"Comedy,Family",88.0,7.8
tt0800092,Ironmen,"Biography,Drama",119.0,4.3
tt0800320,Clash of the Titans,"Action,Adventure,Fantasy",106.0,5.8
tt0800325,The Dirt,"Biography,Comedy,Drama",107.0,7.0
tt0800353,Nemesis,Drama,83.0,6.6
tt0800369,Thor,"Action,Adventure,Fantasy",115.0,7.0
tt0803061,Red Dog,"Biography,Comedy,Drama",92.0,7.4
tt0803096,Warcraft,"Action,Adventure,Fantasy",123.0,6.9
tt0804463,Devil's Knot,"Biography,Crime,Drama",114.0,6.1
tt0804483,Folk!,Documentary,,7.7
tt0804497,It's Kind of a Funny Story,"Comedy,Drama,Romance",101.0,7.1
tt0804509,The Mule,"Comedy,Drama",100.0,6.2
tt0805617,Spoon,"Action,Drama,Fantasy",,6.6
tt0808245,A Letter to Elia,Documentary,60.0,7.6
tt0808447,The Last Pogo Jumps Again,"Documentary,Music",200.0,9.3
tt0808510,Tooth Fairy,"Comedy,Family,Fantasy",101.0,5.0
tt0810772,Belle du Seigneur,"Drama,Romance",104.0,5.3
tt0810815,Cross the Line,Action,87.0,3.9
tt0810819,The Danish Girl,"Biography,Drama,Romance",119.0,7.1
tt0810856,Eyes of the Mothman,Documentary,150.0,6.3
tt0810913,Jack and Jill,Comedy,91.0,3.3
tt0810922,Take Me Home Tonight,"Comedy,Drama,Romance",97.0,6.3
tt0811021,Plumíferos - Aventuras voladoras,"Adventure,Animation,Family",80.0,4.0
tt0811069,Lavoe,"Drama,Music",90.0,7.4
tt0811137,The Do-Deca-Pentathlon,Comedy,76.0,6.0
tt0811613,Meridian Lines,Drama,,6.8
tt0813992,American Flyer,Adventure,100.0,6.4
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy",118.0,5.9
tt0815101,Ashes,Drama,77.0,7.1
tt0815236,She's Out of My League,"Comedy,Romance",104.0,6.4
tt0816362,Card Subject to Change,Documentary,87.0,6.7
tt0816442,The Book Thief,"Drama,War",131.0,7.6
tt0816462,Conan the Barbarian,"Action,Adventure,Fantasy",113.0,5.2
tt0816648,Shanghai Hotel,Drama,110.0,6.3
tt0816692,Interstellar,"Adventure,Drama,Sci-Fi",169.0,8.6
tt0816711,World War Z,"Action,Adventure,Horror",116.0,7.0
tt0817177,Flipped,"Comedy,Drama,Romance",90.0,7.7
tt0817230,Valentine's Day,"Comedy,Romance",125.0,5.7
tt0817545,The Power of Few,"Action,Crime,Drama",96.0,5.2
tt0818098,Dreamkiller,Thriller,110.0,4.9
tt0818172,Soupernatural,Drama,,6.7
tt0821486,Manhattan Minutiae,"Comedy,Music,Romance",99.0,5.6
tt0822847,Priest,"Action,Adventure,Fantasy",87.0,5.7
tt0825282,The Long Falling,Drama,105.0,6.5
tt0825283,Maximum Ride,"Action,Adventure,Comedy",88.0,3.7
tt0825334,Caravaggio and My Mother the Pope,"Comedy,Drama",90.0,8.9
tt0826532,Return to Yucca Flats: Desert Man-Beast,"Comedy,Horror",79.0,5.8
tt0826823,Magic,"Adventure,Family",,3.2
tt0828135,Wild in the Streets,Documentary,82.0,8.3
tt0829150,Dracula Untold,"Action,Drama,Fantasy",92.0,6.3
tt0829176,Gallowwalkers,"Action,Horror,Thriller",90.0,3.6
tt0831280,Waking Madison,Drama,89.0,6.0
tt0831387,Godzilla,"Action,Adventure,Sci-Fi",123.0,6.4
tt0831881,Land,Documentary,76.0,7.4
tt0835418,The Babymakers,Comedy,95.0,5.0
tt0835775,Electric Slide,"Action,Biography,Crime",95.0,4.6
tt0835802,Krystal,"Comedy,Drama",90.0,5.3
tt0837156,Pee-wee's Big Holiday,"Adventure,Comedy,Family",90.0,6.2
tt0837559,Approaching Midnight,"Crime,Drama,Romance",86.0,5.0
tt0837562,Hotel Transylvania,"Animation,Comedy,Family",91.0,7.1
tt0837563,Pet Sematary,"Horror,Mystery,Thriller",101.0,6.0
tt0838194,Retreat!,"Comedy,Drama,War",,7.9
tt0839742,Bhopal: A Prayer for Rain,Drama,96.0,7.3
tt0840358,Everyday Sunshine: The Story of Fishbone,"Documentary,Music",107.0,7.6
